image,expected,predicted
PrivateTest_41308674.jpg,angry,angry
PrivateTest_33746988.jpg,angry,angry
PrivateTest_61118112.jpg,angry,angry
PublicTest_63705954.jpg,angry,angry
PrivateTest_74436169.jpg,angry,angry
PublicTest_1419488.jpg,angry,neutral
PrivateTest_39470132.jpg,angry,angry
PrivateTest_58143145.jpg,angry,happy
PublicTest_94771272.jpg,angry,fear
PrivateTest_7833671.jpg,angry,neutral
PublicTest_53519543.jpg,angry,neutral
PublicTest_57157029.jpg,angry,neutral
PublicTest_48428562.jpg,angry,fear
PrivateTest_83885737.jpg,angry,angry
PrivateTest_91030295.jpg,angry,sad
PublicTest_28963544.jpg,angry,sad
PrivateTest_27425934.jpg,angry,angry
PrivateTest_65816712.jpg,angry,angry
PublicTest_48036150.jpg,angry,angry
PrivateTest_77781106.jpg,angry,neutral
PrivateTest_99855040.jpg,angry,fear
PublicTest_53480653.jpg,angry,angry
PrivateTest_95983220.jpg,angry,angry
PrivateTest_37743545.jpg,angry,neutral
PublicTest_43895652.jpg,angry,angry
PublicTest_56592933.jpg,angry,angry
PrivateTest_29755784.jpg,angry,angry
PrivateTest_64746023.jpg,angry,fear
PrivateTest_40087698.jpg,angry,sad
PrivateTest_7588358.jpg,angry,angry
PublicTest_14387765.jpg,angry,angry
PrivateTest_88790866.jpg,angry,angry
PublicTest_63906265.jpg,angry,angry
PrivateTest_82666968.jpg,angry,angry
PrivateTest_93463858.jpg,angry,angry
PrivateTest_62009733.jpg,angry,neutral
PublicTest_33361245.jpg,angry,fear
PublicTest_48512363.jpg,angry,sad
PrivateTest_97952692.jpg,angry,angry
PrivateTest_91554872.jpg,angry,neutral
PrivateTest_18151590.jpg,angry,sad
PublicTest_40202990.jpg,angry,fear
PublicTest_57918595.jpg,angry,fear
PrivateTest_45986528.jpg,angry,fear
PublicTest_4379266.jpg,angry,neutral
PublicTest_94143318.jpg,angry,angry
PublicTest_31588880.jpg,angry,disgust
PrivateTest_69727437.jpg,angry,happy
PublicTest_74470272.jpg,angry,sad
PublicTest_93558553.jpg,angry,sad
PublicTest_1990985.jpg,angry,angry
PrivateTest_56890397.jpg,angry,angry
PublicTest_94892531.jpg,angry,neutral
PublicTest_2489773.jpg,angry,angry
PrivateTest_14426977.jpg,angry,angry
PublicTest_67194596.jpg,angry,sad
PrivateTest_71268050.jpg,angry,sad
PublicTest_38216771.jpg,angry,angry
PublicTest_5251552.jpg,angry,angry
PrivateTest_13541561.jpg,angry,fear
PrivateTest_55564530.jpg,angry,surprise
PrivateTest_1809180.jpg,angry,neutral
PrivateTest_20571365.jpg,angry,happy
PublicTest_18471170.jpg,angry,angry
PrivateTest_64927607.jpg,angry,happy
PrivateTest_89289950.jpg,angry,happy
PublicTest_79887521.jpg,angry,fear
PublicTest_71211063.jpg,angry,angry
PrivateTest_81957564.jpg,angry,fear
PublicTest_58554610.jpg,angry,sad
PublicTest_71123225.jpg,angry,angry
PublicTest_98752607.jpg,angry,angry
PublicTest_65942726.jpg,angry,fear
PublicTest_78810808.jpg,angry,angry
PublicTest_20761396.jpg,angry,angry
PrivateTest_77007111.jpg,angry,sad
PrivateTest_86650314.jpg,angry,sad
PublicTest_3218764.jpg,angry,angry
PrivateTest_79419543.jpg,angry,neutral
PublicTest_31058193.jpg,angry,sad
PrivateTest_95178171.jpg,angry,angry
PublicTest_93687979.jpg,angry,angry
PublicTest_76439875.jpg,angry,fear
PrivateTest_84324988.jpg,angry,sad
PublicTest_74837119.jpg,angry,sad
PublicTest_5177911.jpg,angry,angry
PrivateTest_79141944.jpg,angry,fear
PrivateTest_97993950.jpg,angry,angry
PublicTest_17560953.jpg,angry,angry
PrivateTest_64728949.jpg,angry,angry
PrivateTest_96028430.jpg,angry,sad
PrivateTest_41474527.jpg,angry,fear
PrivateTest_14482875.jpg,angry,sad
PublicTest_49898176.jpg,angry,fear
PrivateTest_7543291.jpg,angry,neutral
PublicTest_28848742.jpg,angry,angry
PrivateTest_86408178.jpg,angry,angry
PrivateTest_94363717.jpg,angry,surprise
PrivateTest_25146065.jpg,angry,angry
PrivateTest_20887918.jpg,angry,angry
PrivateTest_8276334.jpg,angry,fear
PrivateTest_55994277.jpg,angry,surprise
PublicTest_85454471.jpg,angry,surprise
PrivateTest_13664224.jpg,angry,happy
PrivateTest_33031857.jpg,angry,angry
PublicTest_92150074.jpg,angry,fear
PublicTest_12693575.jpg,angry,angry
PrivateTest_52423878.jpg,angry,sad
PrivateTest_8186613.jpg,angry,angry
PrivateTest_65902387.jpg,angry,angry
PublicTest_65017594.jpg,angry,neutral
PrivateTest_75250209.jpg,angry,neutral
PrivateTest_76832798.jpg,angry,angry
